Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XA*,112,261,180,430,225,689,928,2636
7x7,BiXA*,61,605,70,943,103,1748,386,5694
7x8,XA*,171,505,401,1336,579,2067,2210,6868
7x8,BiXA*,113,1157,274,4498,263,4785,942,14718
7x9,XA*,266,1249,615,2100,1512,7642,1497,5977
7x9,BiXA*,175,3642,338,4277,1012,23919,952,20303
8x8,XA*,325,1026,596,2350,2192,15484,3073,12397
8x8,BiXA*,159,2488,289,4873,834,35930,1466,34808
8x9,XA*,457,1871,1641,6677,4566,17786,15001,64264
8x9,BiXA*,382,6475,995,20774,2321,46039,6048,163560
9x9,XA*,1537,6506,4647,20417,6647,35665,23043,118107
9x9,BiXA*,748,16325,2007,47022,3702,102980,11716,348822
