Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,122,281,210,505,380,1010,1089,3030,-,-
7x7,BiX-DFBnB,50,220,65,323,96,569,239,1493,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,246,675,533,1654,1168,3389,2690,8756,-,-
7x8,BiX-DFBnB,344,702,221,1261,299,1774,662,4436,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,404,1258,1085,3054,1818,7008,2517,10320,-,-
7x9,BiX-DFBnB,172,976,384,1737,983,6013,1036,7278,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,442,1265,666,2304,2950,9805,4640,17522,-,-
8x8,BiX-DFBnB,114,699,293,1799,653,5098,1717,12457,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,720,2537,1937,7890,7117,27895,19675,85256,-,-
8x9,BiX-DFBnB,397,2488,957,7414,1817,13731,6635,55467,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1731,7087,7860,31804,10704,51653,38607,176711,-,-
9x9,BiX-DFBnB,604,5068,2299,17234,4166,34080,10840,93691,-,-
