Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,3,2,3,3
4,BiXDFBnB,3,4,3,4
5,XDFBnB,30,31,55,63
5,BiXDFBnB,11,26,56,134
6,XDFBnB,807,1336,7247,34016
6,BiXDFBnB,983,3112,11907,103115
7,XDFBnB,1282664,13390007,,
7,BiXDFBnB,2595312,52053185,,
