Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,2,3,6,7
4,BiXIDA,2,2,5,3
5,XIDA,15,81,34,132
5,BiXIDA,30,110,30,111
6,XIDA,7203,140625,7203,140639
6,BiXIDA,7720,93372,7720,93378
7,XIDA,513908,41877485,,
7,BiXIDA,1251646,60926015,,
