Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,2,3,6,5
4,BiXIDA,2,3,2,3
5,XIDA,15,59,34,98
5,BiXIDA,26,69,26,69
6,XIDA,7203,99361,7203,99363
6,BiXIDA,7720,70369,7720,70370
