Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XMM,119,357,203,642,347,1164,1119,4022
7x7,XA*,112,245,180,419,225,683,928,2751
7x8,XMM,167,611,615,2197,878,3325,2625,10627
7x8,XA*,171,483,401,1310,579,2016,2210,7402
7x9,XMM,366,1409,681,2600,2243,9909,2220,10115
7x9,XA*,266,850,615,2060,1512,6136,1497,6203
8x8,XMM,304,1291,755,3091,2479,10596,4726,22034
8x8,XA*,325,1095,596,2012,2192,7632,3073,12991
8x9,XMM,627,2867,1917,9474,5799,28953,21219,117609
8x9,XA*,457,1762,1641,6764,4566,19076,15001,70268
9x9,XMM,1833,9396,5265,27312,11898,67491,42514,252555
9x9,XA*,1537,6429,4647,20760,6647,34106,23043,121736
