Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XIDA,1879,5653,76597,289806,,
13x13,BiXIDA,2514,4994,41294,92252,,
