Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XIDA,257,729,417,1159,495,1674,2015,6546
7x7,BiXIDA,1912,5324,685,4036,1078,6357,4309,25754
7x8,XIDA,497,1621,1435,5241,1553,6074,5201,19029
7x8,BiXIDA,1567,7334,4749,28192,2952,21143,11260,77562
7x9,XIDA,723,2685,2151,8067,3402,14991,3565,15968
7x9,BiXIDA,1529,10670,7607,39647,8888,71685,8991,79651
8x8,XIDA,939,3419,1632,6491,5264,20625,7364,33684
8x8,BiXIDA,1833,12600,3826,28932,10406,78936,15886,141318
8x9,XIDA,1635,7186,4879,22363,14922,69407,35116,169019
8x9,BiXIDA,7536,49681,16526,131465,41278,340135,71317,686333
9x9,XIDA,4902,23115,12902,61132,16436,95322,52814,301724
9x9,BiXIDA,14700,121189,30827,287155,38357,428793,120387,1366672
