Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XIDA,1197,5797,49994,283931,,
13x13,BiXIDA,1864,15366,22912,214224,,
