Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,108,118,146,180,208,256,829,1429
6x6,XA*,96,78,170,134,171,163,1071,1015
6x7,XMM,93,122,228,273,357,453,2130,3718
6x7,XA*,82,80,152,151,312,297,6056,5530
6x8,XMM,148,197,920,1393,845,1391,9929,18908
6x8,XA*,114,120,846,878,1108,1161,24910,23278
7x7,XMM,158,216,816,1231,1880,2963,10199,18380
7x7,XA*,141,125,874,853,1585,1762,19676,21921
7x8,XMM,283,471,1830,3074,6722,12603,20298,43933
7x8,XA*,274,315,974,1244,13791,14852,62237,60961
8x8,XMM,2584,4987,3660,7136,16490,35743,,
8x8,XA*,2126,2642,4846,6315,31408,38416,,
