Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XIDA,115,71,218,131,203,124,1307,696
6x6,BiXIDA,111,58,177,107,255,152,2137,1159
6x7,XIDA,126,91,195,133,415,294,7894,4816
6x7,BiXIDA,153,109,225,154,538,401,8866,5741
6x8,XIDA,204,164,1179,846,1308,921,37942,23870
6x8,BiXIDA,176,136,2001,1428,1186,927,39441,27016
7x7,XIDA,173,135,1208,884,1693,1309,30447,19245
7x7,BiXIDA,179,159,1648,1211,2680,2018,29324,19811
7x8,XIDA,339,334,1464,1307,19465,15574,79139,60633
7x8,BiXIDA,402,360,3331,2727,23273,18424,96829,75706
8x8,XIDA,2606,2300,8354,7712,54007,47717,293095,282024
8x8,BiXIDA,7161,5952,10038,8794,96701,90376,428435,386801
