Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,1,2,2,3
4,BiXIDA,1,2,1,3
5,XIDA,6,114,28,146
5,BiXIDA,8,100,35,152
6,XIDA,3735,248404,3735,248410
6,BiXIDA,4015,149460,4015,149462
7,XIDA,34324,44513681,,
7,BiXIDA,42087,30023256,,
