Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XA*,112,274,180,426,225,677,928,2652
7x7,BiXA*,419,1278,322,1465,543,2688,1928,9484
7x8,XA*,171,509,401,1358,579,1985,2210,6629
7x8,BiXA*,713,2238,1594,7440,1192,7304,5059,27426
7x9,XA*,266,825,615,2092,1512,6332,1497,6201
7x9,BiXA*,671,3779,3039,11114,4306,28877,3990,31460
8x8,XA*,325,1041,596,2227,2192,7577,3073,12186
8x8,BiXA*,787,4357,1275,8694,4686,30775,7046,53078
8x9,XA*,457,1759,1641,10621,4566,18827,15001,67370
8x9,BiXA*,2660,12355,6317,63848,14684,99210,32974,276099
9x9,XA*,1537,6544,4647,20261,6647,32685,23043,118170
9x9,BiXA*,6214,37833,12413,96210,18211,168657,56445,578620
