Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XIDA,257,774,417,1189,495,1638,2015,9534
7x7,BiXIDA,289,935,361,1266,462,1686,1553,8379
7x8,XIDA,497,1650,1435,5168,1553,5924,5201,19551
7x8,BiXIDA,559,1920,1496,5695,1481,5932,4199,17679
7x9,XIDA,723,2690,2151,8122,3402,14990,3565,15808
7x9,BiXIDA,846,3170,1908,6834,4986,21412,4518,20393
8x8,XIDA,939,5116,1632,6440,5264,20637,7364,32527
8x8,BiXIDA,856,5434,2006,8403,4235,19398,7902,37174
8x9,XIDA,1635,10165,4879,22136,14922,69221,35116,165055
8x9,BiXIDA,2552,15743,5977,30103,11578,56061,31771,166770
9x9,XIDA,4902,24361,12902,82900,16436,90039,52814,295947
9x9,BiXIDA,4701,24627,10808,76053,20443,108482,55717,322345
