Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XA*,112,257,180,415,225,686,928,2774
7x7,BiXA*,33,247,49,434,70,849,207,2400
7x8,XA*,171,504,401,1430,579,2135,2210,7048
7x8,BiXA*,45,511,120,1602,156,2285,492,6512
7x9,XA*,266,1364,615,2127,1512,6232,1497,5948
7x9,BiXA*,105,1741,197,1840,590,10080,582,9040
8x8,XA*,325,1015,596,2056,2192,8537,3073,13942
8x8,BiXA*,93,1093,154,2179,534,9890,847,17276
8x9,XA*,457,3097,1641,6778,4566,18203,15001,64171
8x9,BiXA*,224,3768,522,9929,1393,19356,3455,75133
9x9,XA*,1537,6325,4647,42537,6647,41572,23043,120283
9x9,BiXA*,577,7190,1244,44710,2127,52974,7385,167808
