Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XDFBnB,132,286,218,547,406,1017,1120,3072
7x7,BiXDFBnB,142,353,177,560,387,1105,981,2968
7x8,XDFBnB,260,673,558,1690,1193,3494,2744,8858
7x8,BiXDFBnB,664,1203,648,2036,917,3020,2505,8503
7x9,XDFBnB,452,1215,1137,3921,1828,7250,2526,10156
7x9,BiXDFBnB,484,1547,1147,3802,2777,10661,4112,14669
8x8,XDFBnB,483,1276,673,2299,3031,9958,4878,17404
8x8,BiXDFBnB,361,1260,941,2928,2146,8519,6149,23329
8x9,XDFBnB,777,2594,1993,8176,7143,27806,20091,85972
8x9,BiXDFBnB,1062,3674,2595,10642,6082,24958,17451,82840
9x9,XDFBnB,1753,7126,8206,32042,10838,53416,38716,192880
9x9,BiXDFBnB,1986,7969,8307,34004,14650,68622,42820,217409
