Grid Size,Algorithm,50% Expansion,50% Time,45% Expansion,45% Time,40% Expansion,40% Time,35% Expansion,35% Time,30% Expansion,30% Time,25% Expansion,25% Time,20% Expansion,20% Time,16% Expansion,16% Time,15% Expansion,15% Time,12% Expansion,12% Time,10% Expansion,10% Time,8% Expansion,8% Time,5% Expansion,5% Time,4% Expansion,4% Time
9x10,XMM,,,,,,,,,,,,,,,5027,29009,,,13616,86058,,,32626,223138,,,156214,1295456
9x10,A*/XMM,,,,,,,,,,,,,,,1.10,0.80,,,0.97,0.82,,,0.88,0.75,,,0.97,0.77
10x10,A*,,,,,,,,,,,,,,,10435,52554,,,39206,221194,,,98709,638694,,,,
10x10,XMM,,,,,,,,,,,,,,,9741,61223,,,38275,263212,,,98865,782198,,,,
10x10,A*/XMM,,,,,,,,,,,,,,,1.07,0.86,,,1.02,0.84,,,1.00,0.82,,,,
11x11,A*,43,68,127,228,108,241,720,1733,2231,6535,26037,92864,247343,938734,,,,,,,,,,,,,,
11x11,XMM,38,77,60,152,74,198,369,1015,1619,5021,19283,79603,138733,886048,,,,,,,,,,,,,,
11x11,A*/XMM,1.13,0.88,2.12,1.50,1.46,1.22,1.95,1.71,1.38,1.30,1.35,1.17,1.78,1.06,,,,,,,,,,,,,,
12x12,A*,142,290,154,356,199,589,527,1644,4212,15336,109354,446452,,,,,,,,,,,,,,,,
12x12,XMM,74,184,86,247,130,427,401,1353,4300,19203,91159,685093,,,,,,,,,,,,,,,,
12x12,A*/XMM,1.92,1.58,1.79,1.44,1.53,1.38,1.31,1.22,0.98,0.80,1.20,0.65,,,,,,,,,,,,,,,,
13x13,A*,,,,,,,,,,,,,,,,,,,,,,,,,,,55955,237634
13x13,XMM,,,,,,,,,,,,,,,,,,,,,,,,,,,312462,2724740
13x13,A*/XMM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.09
