Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XA*,96,74,170,135,171,150,1071,847
6x6,BiXA*,90,44,148,82,230,128,1827,1044
6x7,XA*,82,67,152,140,312,302,6056,5264
6x7,BiXA*,116,76,178,116,428,304,8060,4863
6x8,XA*,114,119,846,849,1108,1089,24910,21853
6x8,BiXA*,112,82,1552,955,1086,829,35487,24462
7x7,XA*,141,133,874,817,1585,1706,19676,19774
7x7,BiXA*,140,106,1364,966,2604,1803,25996,18854
7x8,XA*,274,283,974,1180,13791,13983,62237,58186
7x8,BiXA*,360,267,2543,1918,20400,15172,90889,70696
8x8,XA*,2126,2692,4846,5556,31408,36097,,
8x8,BiXA*,5083,3885,7499,6284,78346,70265,,
