Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,4,4,4,4
4,BiXIDA,4,6,4,6
5,XIDA,53,90,53,90
5,BiXIDA,79,217,79,218
6,XIDA,12689,68895,12689,68897
6,BiXIDA,21332,216748,21332,216750
