Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,1,0,1,1
4,BiXDFBnB,1,1,1,1
5,XDFBnB,3,43,24,75
5,BiXDFBnB,5,36,31,56
6,XDFBnB,8,409,1929,93966
6,BiXDFBnB,61,974,2040,53703
7,XDFBnB,530899,5546745,,
7,BiXDFBnB,543,16301,,
