Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XA*,4,3,5,3
4,BiXA*,3,4,4,4
5,XA*,35,52,36,52
5,BiXA*,53,139,54,139
6,XA*,6509,34541,6510,34667
6,BiXA*,10980,103162,10981,104328
7,BiXA*,455088,16818467,,
