Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XMM,119,363,203,633,347,1201,1119,3995
7x7,XA*,112,249,180,416,225,706,928,2758
7x8,XMM,167,609,615,2218,878,3383,2625,10599
7x8,XA*,171,482,401,1324,579,2039,2210,7457
7x9,XMM,366,1409,681,2732,2243,9918,2220,10162
7x9,XA*,266,863,615,2142,1512,6134,1497,6221
8x8,XMM,304,1188,755,3098,2479,10763,4726,21704
8x8,XA*,325,1020,596,1995,2192,7812,3073,12866
8x9,XMM,627,2755,1917,9414,5799,28405,21219,118650
8x9,XA*,457,1687,1641,6749,4566,18773,15001,70684
9x9,XMM,1833,9487,5265,26944,11898,68308,42514,253914
9x9,XA*,1537,6472,4647,20354,6647,34388,23043,122661
