,,,20%,20%,16%,16%,12%,12%,8%,8%
,,,Expansions,Time [ms],Expansions,Time [ms],Expansions,Time [ms],Expansions,Time [ms]
Grid,Algorithm,Lookahead,,,,,,,,
6x6,XDFBnB,1,96,51,172,108,193,134,1167,646
6x6,XDFBnB,2,50,64,90,98,98,130,603,659
6x6,XDFBnB,3,34,68,56,112,65,177,395,962
6x6,XDFBnB,4,27,83,47,149,49,245,306,1131
6x6,BiXDFBnB,1,163,175,240,296,407,554,2659,3307
6x6,BiXDFBnB,2,52,40,91,56,132,99,1007,662
6x6,BiXDFBnB,3,44,113,50,198,85,360,639,2566
6x6,BiXDFBnB,4,26,56,40,86,66,173,501,1112
6x6,XIDA,1,115,68,218,135,203,132,1307,737
6x6,XIDA,2,59,78,114,133,104,161,676,799
6x6,XIDA,3,41,89,70,190,68,180,441,976
6x6,XIDA,4,32,112,59,230,52,254,342,1349
6x6,BiXIDA,1,173,210,317,395,407,533,3127,3978
6x6,BiXIDA,2,55,39,106,75,134,115,1155,858
6x6,BiXIDA,3,45,151,59,292,86,370,733,2769
6x6,BiXIDA,4,27,68,47,122,69,176,584,1413
6x7,XDFBnB,1,81,55,161,111,339,238,7531,4389
6x7,XDFBnB,2,39,57,79,107,162,217,3789,4432
6x7,XDFBnB,3,28,76,54,129,113,288,2488,5472
6x7,XDFBnB,4,24,92,38,172,80,358,1902,7422
6x7,BiXDFBnB,1,213,311,425,576,1050,1547,12644,16696
6x7,BiXDFBnB,2,62,53,95,80,220,208,4049,3251
6x7,BiXDFBnB,3,46,187,69,273,168,785,3006,11990
6x7,BiXDFBnB,4,30,79,48,151,111,344,2070,4993
6x7,XIDA,1,126,99,195,130,415,286,7894,4694
6x7,XIDA,2,60,100,96,148,202,280,3974,4795
6x7,XIDA,3,38,109,64,176,139,381,2610,6068
6x7,XIDA,4,34,165,46,209,99,459,1992,8170
6x7,BiXIDA,1,301,480,543,753,1290,1975,14120,19162
6x7,BiXIDA,2,78,71,111,114,262,265,4405,3652
6x7,BiXIDA,3,58,268,83,351,199,990,3248,13966
6x7,BiXIDA,4,37,117,57,172,134,449,2247,5681
6x8,XDFBnB,1,126,96,976,661,1214,858,35499,21618
6x8,XDFBnB,2,63,93,489,744,598,827,18294,22369
6x8,XDFBnB,3,40,108,309,755,410,1100,11867,26682
6x8,XDFBnB,4,29,128,236,1005,305,1442,8973,36472
6x8,BiXDFBnB,1,277,408,3174,4450,2466,3917,57707,81173
6x8,BiXDFBnB,2,68,61,844,701,562,547,18200,15594
6x8,BiXDFBnB,3,46,186,535,2037,377,1939,12182,51054
6x8,BiXDFBnB,4,35,80,399,859,288,913,9485,25938
6x8,XIDA,1,204,167,1179,852,1308,908,37942,23911
6x8,XIDA,2,102,167,604,857,638,920,19572,25039
6x8,XIDA,3,66,194,384,1033,418,1174,12677,29512
6x8,XIDA,4,50,250,299,1340,308,1976,9623,45825
6x8,BiXIDA,1,353,567,4355,6604,2693,4423,62502,90825
6x8,BiXIDA,2,88,87,1041,848,605,619,19838,17713
6x8,BiXIDA,3,58,275,690,3103,408,2194,13372,59945
6x8,BiXIDA,4,46,130,512,1277,312,1279,10445,34221
7x7,XDFBnB,1,153,112,1056,742,1659,1221,26054,17314
7x7,XDFBnB,2,76,108,521,703,820,1247,13396,17836
7x7,XDFBnB,3,50,133,354,896,554,1627,8937,21424
7x7,XDFBnB,4,39,182,260,1152,408,2165,6716,29191
7x7,BiXDFBnB,1,344,548,2154,3235,5356,8406,57303,86987
7x7,BiXDFBnB,2,81,81,719,639,1401,1314,13492,11906
7x7,BiXDFBnB,3,63,315,494,2320,887,4496,10223,43703
7x7,BiXDFBnB,4,39,123,353,923,686,2027,6880,18895
7x7,XIDA,1,173,159,1208,861,1693,1283,30447,20738
7x7,XIDA,2,86,136,602,859,834,1268,15693,21072
7x7,XIDA,3,59,211,404,1075,567,1665,10401,25605
7x7,XIDA,4,44,220,300,1378,416,2190,7870,35022
7x7,BiXIDA,1,353,696,2589,3979,5894,9504,70147,109628
7x7,BiXIDA,2,90,100,829,797,1389,1311,15135,14041
7x7,BiXIDA,3,67,459,567,2744,883,4450,11600,52450
7x7,BiXIDA,4,43,153,422,1164,684,2006,7789,22771
7x8,XDFBnB,1,291,257,1184,1006,16926,12787,75605,57282
7x8,XDFBnB,2,148,256,594,1030,8410,12017,36608,53819
7x8,XDFBnB,3,98,330,397,1245,5639,14625,25307,71114
7x8,XDFBnB,4,73,391,297,1634,4251,18504,18242,89407
7x8,BiXDFBnB,1,716,1194,4598,7730,38487,60942,178225,289059
7x8,BiXDFBnB,2,185,197,1281,1270,10162,9600,45627,44203
7x8,BiXDFBnB,3,127,694,885,4392,7627,33036,30530,151282
7x8,BiXDFBnB,4,90,299,641,1791,5046,14036,22882,68600
7x8,XIDA,1,339,295,1464,1288,19465,15396,79139,60912
7x8,XIDA,2,174,332,734,1334,9595,17641,38392,57474
7x8,XIDA,3,115,390,490,1652,6466,18484,26474,77354
