Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,1,2,2,3
4,BiXIDA,1,2,1,2
5,XIDA,6,112,28,144
5,BiXIDA,8,97,35,145
6,XIDA,3735,246458,3735,246465
6,BiXIDA,4015,149318,4015,149321
