Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,1,1,1,2
4,BiXDFBnB,3,4,4,4
5,XDFBnB,1,18,1,129
5,BiXDFBnB,9,14,33,49
6,XDFBnB,1,18446,1,1295837
6,BiXDFBnB,1529,6375,7597,38494
