Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XIDA,870,5584,38227,327176,,
13x13,BiXIDA,1208,4835,20844,104599,,
