Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XA*,561,1126,30949,75457,,
13x13,BiXA*,381,834,10840,26353,,
