Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XA*,112,239,180,421,225,687,928,2699
7x7,BiXA*,115,288,148,431,219,736,756,2416
7x8,XA*,171,507,401,1589,579,2009,2210,6955
7x8,BiXA*,198,533,490,1683,580,2073,1810,6314
7x9,XA*,266,863,615,2219,1512,5694,1497,6383
7x9,BiXA*,386,1266,747,2139,2211,8456,2121,9126
8x8,XA*,325,1005,596,2092,2192,7926,3073,15008
8x8,BiXA*,307,1080,594,2202,1797,7995,3105,15675
8x9,XA*,457,1712,1641,6742,4566,18531,15001,67681
8x9,BiXA*,814,2886,1819,8774,4857,19288,13267,66179
9x9,XA*,1537,7549,4647,21233,6647,32803,23043,117050
9x9,BiXA*,1707,7489,4504,20893,8359,41889,26568,145907
