Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,1,2,3,4
4,BiXIDA,1,2,1,3
5,XIDA,10,79,18,115
5,BiXIDA,16,107,24,152
6,XIDA,4522,143717,4522,143721
6,BiXIDA,6048,243966,6048,243970
