Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,108,117,146,183,208,246,829,1139
6x6,XA*,96,80,170,136,171,155,1071,883
6x7,XMM,93,128,228,311,357,461,2130,3768
6x7,XA*,82,84,152,159,312,298,6056,5622
6x8,XMM,148,198,920,1392,845,1389,9929,18502
6x8,XA*,114,120,846,873,1108,1163,24910,23012
7x7,XMM,158,211,816,1242,1880,3019,10199,18392
7x7,XA*,141,124,874,859,1585,1798,19676,22040
7x8,XMM,283,442,1830,3128,6722,12540,20298,44761
7x8,XA*,274,310,974,1275,13791,14789,62237,61586
8x8,XMM,2584,4943,3660,7040,16490,34499,,
8x8,XA*,2126,2652,4846,6224,31408,37912,,
