Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XMM,4,3,7,5
4,XA*,,,5,3
4,BiXA*,7,5,,
5,XMM,35,50,55,94
5,XA*,,,36,50
5,BiXA*,39,71,,
6,XMM,6509,32028,17663,99460
6,XA*,,,6510,32107
6,BiXA*,4854,33066,,
