Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,XDFBnB,27,83,47,149,49,245,306,1131,-,-
6x6,BiXDFBnB,26,56,40,86,66,173,501,1112,-,-
6x6,XIDA,-,-,-,-,-,-,-,-,-,-
6x6,BiXIDA,-,-,-,-,-,-,-,-,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,XDFBnB,24,92,38,172,80,358,1902,7422,-,-
6x7,BiXDFBnB,30,79,48,151,111,344,2070,4993,-,-
6x7,XIDA,-,-,-,-,-,-,-,-,-,-
6x7,BiXIDA,-,-,-,-,-,-,-,-,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,XDFBnB,29,128,236,1005,305,1442,8973,36472,-,-
6x8,BiXDFBnB,35,80,399,859,288,913,9485,25938,-,-
6x8,XIDA,-,-,-,-,-,-,-,-,-,-
6x8,BiXIDA,-,-,-,-,-,-,-,-,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,XDFBnB,39,182,260,1152,408,2165,6716,29191,-,-
7x7,BiXDFBnB,39,123,353,923,686,2027,6880,18895,-,-
7x7,XIDA,-,-,-,-,-,-,-,-,-,-
7x7,BiXIDA,-,-,-,-,-,-,-,-,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,XDFBnB,73,391,297,1634,4251,18504,18242,89407,-,-
7x8,BiXDFBnB,90,299,641,1791,5046,14036,22882,68600,-,-
7x8,XIDA,-,-,-,-,-,-,-,-,-,-
7x8,BiXIDA,-,-,-,-,-,-,-,-,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,XDFBnB,549,2993,1610,9566,11785,66547,64134,414802,-,-
8x8,BiXDFBnB,1364,2968,2200,8084,20218,69568,110018,318822,-,-
8x8,XIDA,-,-,-,-,-,-,-,-,-,-
8x8,BiXIDA,-,-,-,-,-,-,-,-,-,-
