Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XA*,4,3,5,4
4,BiXA*,3,2,4,3
5,XA*,35,52,36,52
5,BiXA*,32,53,33,53
6,XA*,6509,35420,6510,35514
6,BiXA*,6450,37938,6451,38449
7,BiXA*,183213,3803704,,
