Grid Size,Algorithm,16% Expansion,16% Time,12% Expansion,12% Time,8% Expansion,8% Time,4% Expansion,4% Time
5x5,A*,42,122,80,265,132,461,246,1029
5x5,XMM,31,138,62,276,77,361,177,897
5x5,A*/XMM,1.35,0.88,1.29,0.96,1.71,1.28,1.39,1.15
5x6,A*,140,582,277,1217,288,1270,580,2874
5x6,XMM,96,501,152,828,307,1720,561,3393
5x6,A*/XMM,1.46,1.16,1.82,1.47,0.94,0.74,1.03,0.85
5x7,A*,170,810,186,857,955,5262,1823,11725
5x7,XMM,144,887,188,1153,769,5110,1269,9258
5x7,A*/XMM,1.18,0.91,0.99,0.74,1.24,1.03,1.44,1.27
5x8,A*,330,1749,639,3873,1083,6694,4871,36774
5x8,XMM,205,1335,479,3369,638,4740,3722,31690
5x8,A*/XMM,1.61,1.31,1.33,1.15,1.70,1.41,1.31,1.16
6x6,A*,238,1137,342,1724,1315,7790,4656,27163
6x6,XMM,128,801,241,1464,701,4844,2376,16498
6x6,A*/XMM,1.86,1.42,1.42,1.18,1.88,1.61,1.96,1.65
6x7,A*,317,1800,566,3348,4264,29408,7655,55989
6x7,XMM,264,1828,454,3246,2052,16128,4683,38404
6x7,A*/XMM,1.20,0.98,1.25,1.03,2.08,1.82,1.63,1.46
6x8,A*,1037,6812,1397,10272,15027,113124,41143,334583
6x8,XMM,728,5843,848,7168,6216,55629,23012,223027
6x8,A*/XMM,1.42,1.17,1.65,1.43,2.42,2.03,1.79,1.50
7x7,A*,1191,8246,1990,15244,10694,94172,39447,361496
7x7,XMM,587,4850,1448,12736,5192,51788,18949,189579
7x7,A*/XMM,2.03,1.70,1.37,1.20,2.06,1.82,2.08,1.91
7x8,A*,2398,18944,10052,86936,18797,180131,109312,1143762
7x8,XMM,1966,18753,6658,67168,11738,125572,98439,1190919
7x8,A*/XMM,1.22,1.01,1.51,1.29,1.60,1.43,1.11,0.96
8x8,A*,5668,50254,30562,293829,103223,1184462,,
8x8,XMM,2158,22664,11247,126440,51885,669193,,
8x8,A*/XMM,2.63,2.22,2.72,2.32,1.99,1.77,,
