Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,122,312,210,514,380,990,1089,2853,-,-
7x7,BiX-DFBnB,44,707,40,1106,62,1979,127,5411,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,246,716,533,1675,1168,3455,2690,8038,-,-
7x8,BiX-DFBnB,128,1246,154,4740,196,6221,394,14673,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,404,1216,1085,3024,1818,7058,2517,9477,-,-
7x9,BiX-DFBnB,98,2526,346,4884,406,20204,483,23729,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,442,1294,666,2325,2950,9784,4640,16865,-,-
8x8,BiX-DFBnB,78,3052,159,5412,397,19279,1083,47296,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,720,2563,1937,7636,7117,25631,19675,80816,-,-
8x9,BiX-DFBnB,196,7316,578,24574,985,45991,2727,194059,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1731,6769,7860,30778,10704,52963,-,-,-,-
9x9,BiX-DFBnB,872,18357,943,47794,2028,124386,-,-,-,-
