Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,53,174,94,194,118,1168,599,-,-
6x6,BiX-DFBnB,52,56,91,97,132,161,1007,1060,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,84,56,162,103,340,242,7532,4409,-,-
6x7,BiX-DFBnB,62,81,95,130,220,363,4049,5179,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,129,86,978,657,1216,858,35500,21487,-,-
6x8,BiX-DFBnB,68,86,844,990,562,881,18200,24558,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,107,1058,661,1661,1135,26056,17818,-,-
7x7,BiX-DFBnB,81,134,719,956,1401,1934,13492,19090,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,252,1185,944,16928,13395,75606,58516,-,-
7x8,BiX-DFBnB,185,321,1281,1934,10162,15423,45627,70227,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,2013,6525,5342,47121,41232,267658,261604,-,-
8x8,BiX-DFBnB,2707,3964,4226,7085,39372,71265,225468,381210,-,-
