Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XIDA,63,719,98,1232,132,2289,558,8697
7x7,BiXIDA,73,768,102,1244,137,2114,427,6573
7x8,XIDA,117,1316,350,5617,371,7367,1322,21165
7x8,BiXIDA,120,1504,370,5488,409,6903,1140,19287
7x9,XIDA,176,2792,561,7949,906,20555,839,19617
7x9,BiXIDA,230,2848,469,5824,1375,24830,1199,22849
8x8,XIDA,239,3202,460,7279,1340,22810,1878,46156
8x8,BiXIDA,221,3120,516,8135,1174,23451,2104,45539
8x9,XIDA,392,8977,1336,26609,3371,82088,8558,210121
8x9,BiXIDA,686,10649,1729,37051,3010,58766,8842,211506
9x9,XIDA,1366,25974,3272,69142,4221,118750,13239,391905
9x9,BiXIDA,2166,27375,2986,60144,4485,100558,15518,369288
