Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,108,109,146,174,208,235,829,1068
6x6,XA*,96,74,170,130,171,150,1071,833
6x7,XMM,93,123,228,266,357,432,2130,3451
6x7,XA*,82,81,152,149,312,284,6056,5262
6x8,XMM,148,192,920,1368,845,1321,9929,18034
6x8,XA*,114,118,846,853,1108,1103,24910,22334
7x7,XMM,158,210,816,1194,1880,2862,10199,17618
7x7,XA*,141,123,874,839,1585,1714,19676,21133
7x8,XMM,283,434,1830,2996,6722,12058,20298,43164
7x8,XA*,274,306,974,1213,13791,14314,62237,60592
8x8,XMM,2584,4809,3660,6944,16490,34486,,
8x8,XA*,2126,2558,4846,5979,31408,37247,,
