Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XA*,96,70,170,126,171,151,1071,972
6x6,BiXA*,39,112,50,208,80,339,638,2445
6x7,XA*,82,80,152,143,312,323,6056,5920
6x7,BiXA*,45,194,63,263,160,818,2971,14280
6x8,XA*,114,208,846,814,1108,2084,24910,22237
6x8,BiXA*,37,190,520,2094,374,2939,11840,55212
7x7,XA*,141,145,874,850,1585,1785,19676,26637
7x7,BiXA*,54,346,475,2335,866,4643,10219,52978
7x8,XA*,274,292,974,1213,13791,14512,62237,57705
7x8,BiXA*,123,690,874,4680,7604,35474,30528,154317
8x8,XA*,2126,4626,4846,5970,31408,36894,,
8x8,BiXA*,1877,12707,2931,15274,29504,175719,,
