Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,108,107,146,169,208,241,829,1066
6x6,XA*,96,71,170,128,171,155,1071,826
6x7,XMM,93,129,228,265,357,434,2130,3455
6x7,XA*,82,86,152,150,312,287,6056,5216
6x8,XMM,148,192,920,1356,845,1343,9929,18005
6x8,XA*,114,119,846,848,1108,1136,24910,22458
7x7,XMM,158,208,816,1190,1880,2877,10199,17798
7x7,XA*,141,124,874,835,1585,1727,19676,21574
7x8,XMM,283,422,1830,3019,6722,11944,20298,44133
7x8,XA*,274,298,974,1236,13791,14293,62237,60729
8x8,XMM,2584,4799,3660,7052,16490,34620,,
8x8,XA*,2126,2557,4846,6059,31408,37097,,
