Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XMM,4,3,7,5
4,XA*,,,5,3
4,BiXA*,7,5,,
5,XMM,35,50,55,94
5,XA*,,,36,50
5,BiXA*,39,71,,
6,XMM,6509,32285,17663,99616
6,XA*,,,6510,32363
6,BiXA*,4854,33344,,
7,BiXA*,82805,2304071,,
