--- LSP Grids ---
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,-1,108,115,146,178,208,262,829,1176
6x6,XMM,1,108,118,146,180,208,256,829,1429
6x6,XMM,2,108,117,146,183,208,246,829,1139
6x6,XMM,3,108,124,146,194,208,254,829,1269
6x6,XMM,4,108,113,146,178,208,277,829,1119
6x6,XA*,-1,96,76,170,132,171,165,1071,901
6x6,XA*,1,96,78,170,134,171,163,1071,1015
6x6,XA*,2,96,80,170,136,171,155,1071,883
6x6,XA*,3,96,86,170,143,171,162,1071,967
6x6,XA*,4,96,75,170,134,171,171,1071,879
6x6,BiXA*,-1,90,44,148,86,230,131,1827,1159
6x6,BiXA*,1,133,149,237,282,354,449,2655,3304
6x6,BiXA*,2,46,33,91,62,122,93,999,831
6x6,BiXA*,3,39,112,50,208,80,339,638,2445
6x6,BiXA*,4,25,57,40,96,63,152,499,1494
6x6,XDFBnB,-1,96,52,172,92,193,122,1167,1171
6x6,XDFBnB,1,96,52,172,153,193,131,1167,658
6x6,XDFBnB,2,50,77,90,91,98,128,603,714
6x6,XDFBnB,3,34,101,56,125,65,163,395,822
6x6,XDFBnB,4,27,113,47,156,49,282,306,2309
6x6,BiXDFBnB,-1,106,52,149,88,250,143,1842,1922
6x6,BiXDFBnB,1,163,177,240,502,407,545,2659,3471
6x6,BiXDFBnB,2,52,41,91,55,132,96,1007,720
6x6,BiXDFBnB,3,44,131,50,239,85,343,639,2278
6x6,BiXDFBnB,4,26,78,40,88,66,192,501,2421
6x6,XIDA,-1,115,74,218,136,203,146,1307,767
6x6,XIDA,1,115,72,218,137,203,165,1307,760
6x6,XIDA,2,59,79,114,136,104,148,676,823
6x6,XIDA,3,41,90,70,176,68,179,441,980
6x6,XIDA,4,32,115,59,238,52,264,342,1397
6x6,BiXIDA,-1,111,58,177,115,255,202,2137,1289
6x6,BiXIDA,1,173,214,317,414,407,620,3127,4138
6x6,BiXIDA,2,55,39,106,78,134,105,1155,874
6x6,BiXIDA,3,45,153,59,274,86,376,733,2818
6x6,BiXIDA,4,27,72,47,129,69,184,584,1460
6x7,XMM,-1,93,123,228,272,357,472,2130,3631
6x7,XMM,1,93,122,228,273,357,453,2130,3718
6x7,XMM,2,93,128,228,311,357,461,2130,3768
6x7,XMM,3,93,124,228,277,357,460,2130,3677
6x7,XMM,4,93,127,228,273,357,485,2130,3683
6x7,XA*,-1,82,81,152,154,312,308,6056,5515
6x7,XA*,1,82,80,152,151,312,297,6056,5530
6x7,XA*,2,82,84,152,159,312,298,6056,5622
6x7,XA*,3,82,80,152,157,312,300,6056,5484
6x7,XA*,4,82,82,152,150,312,307,6056,5533
6x7,BiXA*,-1,116,81,178,128,428,344,8060,5593
6x7,BiXA*,1,203,311,408,547,1031,1554,12622,17877
6x7,BiXA*,2,60,61,88,76,213,235,4005,4174
6x7,BiXA*,3,45,194,63,263,160,818,2971,14280
6x7,BiXA*,4,30,86,45,124,109,378,2050,6473
6x7,XDFBnB,-1,81,64,161,118,339,234,7531,4538
