--- LSP Grids ---,,,,,,,,,,
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
,XIDA*,1,204,165,"1,179",874,"1,308","1,126","37,942","24,574"
,XIDA*,2,102,274,604,996,638,"1,162","19,572","25,601"
,XIDA*,3,66,242,384,"1,156",418,"1,524","12,677","30,496"
,XIDA*,4,50,257,299,"1,380",308,"1,660","9,623","42,169"
,BiXIDA*,-1,176,176,"2,001","1,435","1,186",948,"39,441","27,440"
,BiXIDA*,1,353,573,"4,355","6,922","2,693","5,278","62,502","93,591"
,BiXIDA*,2,88,121,"1,041","1,000",605,759,"19,838","18,186"
,BiXIDA*,3,58,318,690,"3,380",408,"2,677","13,372","62,265"
,BiXIDA*,4,46,135,512,"1,313",312,"1,091","10,445","31,435"
7x7,XMM,-1,158,216,816,"1,197","1,880","2,980","10,199","18,136"
,XMM,1,158,216,816,"1,231","1,880","2,963","10,199","18,380"
,XMM,2,158,211,816,"1,242","1,880","3,019","10,199","18,392"
,XMM,3,158,218,816,"1,229","1,880","3,023","10,199","18,436"
,XMM,4,158,215,816,"1,226","1,880","3,009","10,199","18,208"
,XA*,-1,141,127,874,838,"1,585","1,771","19,676","21,733"
,XA*,1,141,125,874,853,"1,585","1,762","19,676","21,921"
,XA*,2,141,124,874,859,"1,585","1,798","19,676","22,040"
,XA*,3,141,125,874,862,"1,585","1,800","19,676","22,017"
,XA*,4,141,126,874,854,"1,585","1,792","19,676","21,868"
,BiXA*,-1,140,120,"1,364","1,022","2,604","2,091","25,996","23,519"
,BiXA*,1,291,481,"2,126","3,037","5,128","8,116","57,287","92,252"
,BiXA*,2,70,85,686,704,"1,351","1,395","13,484","15,020"
,BiXA*,3,54,346,475,"2,335",866,"4,643","10,219","52,978"
,BiXA*,4,35,150,346,"1,068",672,"2,233","6,877","25,419"
,XDFBnB,-1,153,138,"1,056",991,"1,659","1,256","26,054","17,991"
,XDFBnB,1,153,113,"1,056",740,"1,659","2,007","26,054","17,991"
,XDFBnB,2,76,151,521,904,820,"1,256","13,396","18,534"
,XDFBnB,3,50,196,354,914,554,"1,664","8,937","21,957"
,XDFBnB,4,39,186,260,"1,174",408,"2,852","6,716","36,994"
,BiXDFBnB,-1,165,214,"1,430","1,353","2,692","2,020","26,012","19,120"
,BiXDFBnB,1,344,559,"2,154","3,229","5,356","12,317","57,303","89,876"
,BiXDFBnB,2,81,101,719,794,"1,401","1,345","13,492","12,385"
,BiXDFBnB,3,63,391,494,"2,296",887,"4,685","10,223","45,138"
,BiXDFBnB,4,39,126,353,961,686,"2,620","6,880","22,569"
,XIDA*,-1,173,132,"1,208","1,061","1,693","1,318","30,447","29,589"
,XIDA*,1,173,170,"1,208","1,032","1,693","1,315","30,447","21,229"
,XIDA*,2,86,232,602,898,834,"1,313","15,693","22,037"
,XIDA*,3,59,214,404,"1,119",567,"1,728","10,401","26,307"
,XIDA*,4,44,222,300,"1,457",416,"2,304","7,870","36,440"
,BiXIDA*,-1,179,156,"1,648","1,385","2,680","2,063","29,324","32,014"
,BiXIDA*,1,353,706,"2,589","4,632","5,894","9,839","70,147","113,142"
,BiXIDA*,2,90,183,829,836,"1,389","1,355","15,135","14,520"
,BiXIDA*,3,67,490,567,"2,848",883,"4,687","11,600","53,754"
,BiXIDA*,4,43,155,422,"1,250",684,"2,112","7,789","23,719"
7x8,XMM,-1,283,444,"1,830","3,073","6,722","12,641","20,298","45,254"
,XMM,1,283,471,"1,830","3,074","6,722","12,603","20,298","43,933"
,XMM,2,283,442,"1,830","3,128","6,722","12,540","20,298","44,761"
,XMM,3,283,439,"1,830","3,147","6,722","12,544","20,298","45,381"
,XMM,4,283,449,"1,830","3,132","6,722","12,378","20,298","45,838"
,XA*,-1,274,310,974,"1,243","13,791","14,913","62,237","62,390"
,XA*,1,274,315,974,"1,244","13,791","14,852","62,237","60,961"
,XA*,2,274,310,974,"1,275","13,791","14,789","62,237","61,586"
,XA*,3,274,311,974,"1,267","13,791","14,826","62,237","61,884"
,XA*,4,274,321,974,"1,267","13,791","14,658","62,237","63,832"
,BiXA*,-1,360,284,"2,543","2,012","20,400","17,993","90,889","69,573"
,BiXA*,1,694,"1,103","4,547","7,434","38,368","58,426","178,164","250,198"
,BiXA*,2,181,192,"1,266","1,396","10,141","10,306","45,619","42,639"
,BiXA*,3,123,690,874,"4,680","7,604","35,474","30,528","154,317"
,BiXA*,4,90,299,634,"2,024","5,038","16,022","22,878","71,348"
,XDFBnB,-1,291,412,"1,184","1,050","16,926","13,181","75,605","58,168"
,XDFBnB,1,291,259,"1,184","1,616","16,926","15,616","75,605","58,609"
,XDFBnB,2,148,262,594,"1,614","8,410","12,427","36,608","54,976"
,XDFBnB,3,98,535,397,"1,284","5,639","18,734","25,307","74,501"
,XDFBnB,4,73,422,297,"1,769","4,251","24,195","18,242","96,011"
,BiXDFBnB,-1,370,529,"2,576","2,095","20,446","15,927","90,905","71,064"
,BiXDFBnB,1,716,"1,237","4,598","11,447","38,487","72,999","178,225","296,861"
,BiXDFBnB,2,185,199,"1,281","1,841","10,162","9,893","45,627","45,162"
,BiXDFBnB,3,127,"1,047",885,"4,561","7,627","41,260","30,530","157,547"
,BiXDFBnB,4,90,293,641,"1,974","5,046","17,945","22,882","73,844"
,XIDA*,-1,339,305,"1,464","1,335","19,465","23,918","79,139","63,509"
,XIDA*,1,339,346,"1,464","1,735","19,465","17,111","79,139","62,365"
,XIDA*,2,174,344,734,"1,382","9,595","15,159","38,392","58,931"
,XIDA*,3,115,411,490,"1,698","6,466","18,665","26,474","103,555"
,XIDA*,4,87,546,367,"2,322","4,842","24,030","19,141","141,461"
,BiXIDA*,-1,402,351,"3,331","2,800","23,273","28,903","96,829","79,061"
,BiXIDA*,1,803,"1,628","6,331","13,225","46,456","81,966","195,853","338,371"
,BiXIDA*,2,200,226,"1,656","1,814","11,534","11,703","48,569","49,246"
,BiXIDA*,3,137,811,"1,152","6,416","8,689","41,595","32,617","235,453"
,BiXIDA*,4,98,330,828,"2,721","5,739","17,385","24,319","112,073"
8x8,XMM,-1,"2,584","5,019","3,660","7,095","16,490","35,526",,
,XMM,1,"2,584","4,987","3,660","7,136","16,490","35,743",,
,XMM,2,"2,584","4,943","3,660","7,040","16,490","34,499",,
,XMM,3,"2,584","4,970","3,660","7,059","16,490","35,791",,
,XMM,4,"2,584","4,997","3,660","7,060","16,490","35,862",,
,XA*,-1,"2,126","2,672","4,846","6,290","31,408","38,202",,
,XA*,1,"2,126","2,642","4,846","6,315","31,408","38,416",,
,XA*,2,"2,126","2,652","4,846","6,224","31,408","37,912",,
,XA*,3,"2,126","2,636","4,846","6,223","31,408","38,693",,
,XA*,4,"2,126","2,647","4,846","6,287","31,408","38,778",,
,BiXA*,-1,"5,083","5,103","7,499","6,923","78,346","82,679",,
,BiXA*,1,"10,564","19,044","15,220","26,244","153,393","258,412",,
,BiXA*,2,"2,697","3,811","3,731","4,974","39,311","53,555",,
,BiXA*,3,"1,877","12,707","2,931","15,274","29,504","175,719",,
,BiXA*,4,"1,361","4,819","1,978","7,094","20,191","81,745",,
,XDFBnB,-1,"2,362","2,406","6,523","5,698","47,120","49,891","267,656","257,373"
