Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XDFBnB,50,77,90,91,98,128,603,714
6x6,BiXDFBnB,52,41,91,55,132,96,1007,720
6x7,XDFBnB,39,59,79,108,162,223,3789,5632
6x7,BiXDFBnB,62,54,95,80,220,215,4049,4290
6x8,XDFBnB,63,95,489,697,598,841,18294,23259
6x8,BiXDFBnB,68,63,844,658,562,567,18200,16220
7x7,XDFBnB,76,151,521,904,820,1256,13396,18534
7x7,BiXDFBnB,81,101,719,794,1401,1345,13492,12385
7x8,XDFBnB,148,262,594,1614,8410,12427,36608,54976
7x8,BiXDFBnB,185,199,1281,1841,10162,9893,45627,45162
8x8,XDFBnB,1135,2185,3329,5806,23581,41403,128162,245104
8x8,BiXDFBnB,2707,2934,4226,4721,39372,45644,225468,237870
