Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XIDA,84,667,141,1085,168,1564,694,12497
7x7,BiXIDA,124,1764,158,2637,213,4069,794,27068
7x8,XIDA,207,1376,481,4862,497,5910,1735,21764
7x8,BiXIDA,799,5396,836,15489,620,13530,1990,46941
7x9,XIDA,247,2579,755,7018,1205,16347,1102,14833
7x9,BiXIDA,388,6958,852,14216,2159,49025,2030,47806
8x8,XIDA,286,2731,594,9148,1735,18633,2550,35511
8x8,BiXIDA,383,7224,905,25186,1818,44597,3557,91321
8x9,XIDA,558,6669,1717,22379,4862,68259,11654,169755
8x9,BiXIDA,1168,25880,2831,75279,5609,140267,14311,437123
9x9,XIDA,1752,25252,4459,57751,5688,96543,17656,281815
9x9,BiXIDA,2068,66287,5013,133851,8088,231019,24754,706930
