Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,4,4,4,4
4,BiXIDA,4,7,4,7
5,XIDA,53,91,53,91
5,BiXIDA,79,214,79,215
6,XIDA,12689,70950,12689,70952
6,BiXIDA,21332,217675,21332,217678
7,XIDA,984949,25670639,,
7,BiXIDA,1059500,42309229,,
