Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XDFBnB,45,217,74,413,115,892,449,3429
7x7,BiXDFBnB,74,688,79,991,131,2175,556,7431
7x8,XDFBnB,118,567,177,1401,299,2638,897,8404
7x8,BiXDFBnB,333,1665,349,4750,397,6208,1340,18531
7x9,XDFBnB,152,1060,467,2349,664,7192,754,8485
7x9,BiXDFBnB,221,2984,537,5015,1389,22578,1716,30040
8x8,XDFBnB,112,915,252,1990,1086,8969,2327,20480
8x8,BiXDFBnB,203,2710,352,5272,974,18590,2826,49261
8x9,XDFBnB,349,2325,946,8236,2579,25893,6846,80781
8x9,BiXDFBnB,449,6541,1329,23927,2721,53509,9427,199214
9x9,XDFBnB,690,6742,2445,25448,3678,49002,12184,164584
9x9,BiXDFBnB,1821,19555,3472,61843,7422,150996,16449,408604
