Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XMM,4,3,7,5
4,XA*,,,5,3
4,BiXA*,7,5,,
5,XMM,35,51,55,96
5,XA*,,,36,51
5,BiXA*,39,73,,
6,XMM,6509,31985,17663,98677
6,XA*,,,6510,32058
6,BiXA*,4854,32833,,
