Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XMM,119,366,203,630,347,1153,1119,4021
7x7,XA*,112,252,180,416,225,680,928,2774
7x8,XMM,167,598,615,2163,878,3383,2625,10728
7x8,XA*,171,475,401,1282,579,2044,2210,7499
7x9,XMM,366,1404,681,2652,2243,10206,2220,10009
7x9,XA*,266,862,615,2086,1512,6099,1497,6161
8x8,XMM,304,1220,755,3097,2479,10710,4726,21978
8x8,XA*,325,1019,596,1998,2192,7743,3073,13028
8x9,XMM,627,2830,1917,9486,5799,28330,21219,127575
8x9,XA*,457,1724,1641,6792,4566,18904,15001,76510
9x9,XMM,1833,9539,5265,26653,11898,67560,42514,252040
9x9,XA*,1537,6478,4647,20187,6647,33793,23043,122014
