Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,4,4,4,4
4,BiXIDA,4,4,4,4
5,XIDA,53,90,53,90
5,BiXIDA,52,85,52,86
6,XIDA,12689,70882,12689,70884
6,BiXIDA,13424,73171,13424,73173
