Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XA*,4,3,5,3
4,BiXA*,1,1,1,2
5,XA*,35,51,36,51
5,BiXA*,5,36,32,55
6,XA*,6509,33304,6510,33365
6,BiXA*,1999,57232,2000,57669
