--- LSP Grids ---
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
8x8,BiXIDA,2,11844,9689,20462,18260,219751,187820,1964071,1440249
8x8,BiXIDA,3,8143,32077,15295,62959,163061,683479,1340845,4634846
8x8,BiXIDA,4,6065,11468,9929,26092,108768,268432,969128,1927542

--- Snake Grids ---
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XDFBnB,1,132,262,218,508,406,1334,1120,3038
7x7,XDFBnB,2,97,247,113,475,153,738,825,3014
7x7,XDFBnB,3,45,217,74,377,115,776,449,3032
7x7,XDFBnB,4,38,225,66,422,88,1028,387,3675
7x7,BiXDFBnB,1,303,986,254,1158,846,3841,1635,7725
7x7,BiXDFBnB,2,50,172,65,332,96,478,239,1215
7x7,BiXDFBnB,3,56,537,46,641,72,1188,325,4244
7x7,BiXDFBnB,4,26,215,30,306,43,633,137,1714
7x7,XIDA,1,257,733,417,1211,495,1685,2015,6457
7x7,XIDA,2,132,576,207,971,258,1488,1070,5976
7x7,XIDA,3,84,666,141,1099,168,1544,694,7271
7x7,XIDA,4,63,724,98,1261,132,2353,558,9139
7x7,BiXIDA,1,1904,5422,680,4043,1067,6255,4305,24835
7x7,BiXIDA,2,151,575,186,947,242,1354,815,4421
7x7,BiXIDA,3,122,1719,156,2669,211,4008,792,15568
7x7,BiXIDA,4,71,765,101,1238,135,2131,426,6816
7x8,XDFBnB,1,260,681,558,1713,1193,3394,2744,8831
7x8,XDFBnB,2,116,535,267,1346,475,2371,1316,7071
7x8,XDFBnB,3,118,518,177,1896,299,2968,897,8177
7x8,XDFBnB,4,89,572,138,1510,233,2680,692,8673
7x8,BiXDFBnB,1,751,2229,2663,9763,1555,8078,4427,25361
7x8,BiXDFBnB,2,344,676,221,1055,299,1445,662,3606
7x8,BiXDFBnB,3,268,1172,233,5114,231,4833,687,11909
7x8,BiXDFBnB,4,286,707,177,1443,154,1794,341,5119
7x8,XIDA,1,497,1633,1435,5263,1553,5781,5201,19109
7x8,XIDA,2,239,1301,721,4390,758,5041,2551,16317
7x8,XIDA,3,207,1373,481,4923,497,5562,1735,19746
7x8,XIDA,4,117,1310,350,5558,371,7212,1322,20266
7x8,BiXIDA,1,1561,7291,4745,28233,2948,19640,11256,77486
7x8,BiXIDA,2,273,1364,766,4320,756,4472,2125,13246
7x8,BiXIDA,3,797,5386,834,15656,619,12760,1988,42426
7x8,BiXIDA,4,119,1512,369,5356,409,6756,1139,18522
7x9,XDFBnB,1,452,1232,1137,3421,1828,7606,2526,9418
7x9,XDFBnB,2,214,928,1140,3502,979,6424,1556,8883
7x9,XDFBnB,3,152,1055,467,2176,664,7122,754,8433
7x9,XDFBnB,4,115,1118,324,2276,574,9564,531,10364
7x9,BiXDFBnB,1,750,3852,3846,14172,3606,25589,4518,30497
7x9,BiXDFBnB,2,172,783,384,1608,983,5116,1036,5296
7x9,BiXDFBnB,3,138,2148,297,3336,752,14498,956,18708
7x9,BiXDFBnB,4,82,898,177,1408,474,7143,535,8238
7x9,XIDA,1,723,2754,2151,7990,3402,14723,3565,15713
7x9,XIDA,2,348,2170,1066,6596,1693,13155,1654,12006
7x9,XIDA,3,247,2603,755,6958,1205,16654,1102,15266
7x9,XIDA,4,176,2749,561,7995,906,20558,839,19103
7x9,BiXIDA,1,1522,10816,7600,39654,8880,70017,8984,77192
7x9,BiXIDA,2,458,2338,1004,4829,2730,16565,2275,13882
7x9,BiXIDA,3,385,6909,850,14215,2156,47652,2027,48520
7x9,BiXIDA,4,229,2829,468,5871,1373,24958,1197,22076
8x8,XDFBnB,1,483,1275,673,2348,3031,9992,4878,17547
8x8,XDFBnB,2,399,1127,363,1921,1667,9064,2667,16256
8x8,XDFBnB,3,112,1014,252,2139,1086,8868,2327,26157
8x8,XDFBnB,4,192,1004,197,2454,848,9811,1592,24869
8x8,BiXDFBnB,1,693,3595,1175,7438,4218,26484,11657,63785
8x8,BiXDFBnB,2,114,607,293,1572,653,4459,1717,10288
8x8,BiXDFBnB,3,106,1982,221,4447,549,12767,1533,41368
8x8,BiXDFBnB,4,59,686,142,1794,379,6698,830,14944
8x8,XIDA,1,939,3462,1632,6392,5264,20743,7364,33749
8x8,XIDA,2,504,2885,854,5648,2597,17144,3559,26481
8x8,XIDA,3,286,2788,594,5598,1735,18762,2550,36267
8x8,XIDA,4,239,3263,460,7328,1340,22296,1878,45915
8x8,BiXIDA,1,1824,12766,3820,28486,10402,78951,15878,140063
8x8,BiXIDA,2,430,2490,1052,6469,2159,15357,4049,26699
8x8,BiXIDA,3,379,7320,903,15969,1816,45136,3554,92591
8x8,BiXIDA,4,218,3162,515,8094,1173,22790,2102,45358
8x9,XDFBnB,1,777,2552,1993,7711,7143,31279,20091,83608
8x9,XDFBnB,2,343,2014,1113,6818,3422,21110,9804,77277
8x9,XDFBnB,3,349,2274,946,8290,2579,25076,6846,77384
8x9,XDFBnB,4,187,2790,669,10119,1663,26013,5083,97912
8x9,BiXDFBnB,1,2348,11358,6592,39365,13118,109922,28318,227210
8x9,BiXDFBnB,2,397,2085,957,6053,1817,11333,6635,49047
8x9,BiXDFBnB,3,277,5055,775,17746,1567,35204,5793,124709
8x9,BiXDFBnB,4,214,2482,518,9335,881,15477,3039,61992
8x9,XIDA,1,1635,7137,4879,22349,14922,66029,35116,171958
8x9,XIDA,2,806,6563,2525,19869,7251,59221,17370,138620
8x9,XIDA,3,558,6222,1717,22339,4862,67528,11654,175627
8x9,XIDA,4,392,8960,1336,26740,3371,81629,8558,204205
8x9,BiXIDA,1,7529,49021,16515,131634,41272,316406,71312,696238
8x9,BiXIDA,2,1289,8473,3112,24555,6028,42210,16963,133171
8x9,BiXIDA,3,1166,24120,2826,74549,5607,139355,14309,430991
8x9,BiXIDA,4,684,10626,1726,36874,3009,58597,8841,204346
9x9,XDFBnB,1,1753,7049,8206,30412,10838,51458,38716,183019
9x9,XDFBnB,2,977,5933,3859,24740,5055,41829,22354,153235
9x9,XDFBnB,3,690,8074,2445,25394,3678,54419,12184,160111
9x9,XDFBnB,4,1040,9536,1875,29254,2624,71212,8518,189298
9x9,BiXDFBnB,1,7070,37506,14446,101656,15222,135166,59008,556570
9x9,BiXDFBnB,2,604,4175,2299,14478,4166,27565,10840,83110
9x9,BiXDFBnB,3,1440,18787,1953,41100,3984,101909,8999,242828
9x9,BiXDFBnB,4,464,6035,1118,18193,2423,47461,5353,115355
9x9,XIDA,1,4902,24378,12902,61234,16436,87733,52814,291388
9x9,XIDA,2,2537,20923,6640,51903,8259,77013,26532,269251
9x9,XIDA,3,1752,21694,4459,57004,5688,94973,17656,303992
9x9,XIDA,4,1366,25634,3272,79207,4221,118078,13239,395512
9x9,BiXIDA,1,14693,130394,30818,286401,38341,402566,120384,1355091
9x9,BiXIDA,2,2378,18825,5637,42161,9094,70787,28876,250549
9x9,BiXIDA,3,2067,56689,5010,134006,8085,229131,24753,753903
9x9,BiXIDA,4,2165,26723,2984,68882,4483,99732,15517,361099

--- LSP Mazes ---
Grid,Algorithm,Lookahead,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XDFBnB,1,885,1729,41201,81966,,
13x13,XDFBnB,2,451,1414,20588,79681,,
13x13,XDFBnB,3,292,1315,13282,68479,,
13x13,XDFBnB,4,159,1021,10228,80142,,
13x13,BiXDFBnB,1,2141,9905,110666,475652,,
13x13,BiXDFBnB,2,501,961,12804,30045,,
13x13,BiXDFBnB,3,376,2567,7189,61293,,
13x13,BiXDFBnB,4,248,906,6511,31053,,
13x13,XIDA,1,3693,7477,152323,334515,,
13x13,XIDA,2,1879,6398,76597,310602,,
13x13,XIDA,3,1197,6167,49994,303799,,
13x13,XIDA,4,870,5555,38227,356671,,
13x13,BiXIDA,1,11219,54074,484126,2184635,,
13x13,BiXIDA,2,2751,6160,53636,126732,,
13x13,BiXIDA,3,2035,17893,29842,294299,,
13x13,BiXIDA,4,1326,5251,27167,144285,,

--- CIB ---
Dimension,Algorithm,Lookahead,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,1,3,3,3,3
4,XDFBnB,2,2,3,4,3
4,XDFBnB,3,1,1,1,1
4,XDFBnB,4,1,1,1,2
4,BiXDFBnB,1,3,4,3,4
4,BiXDFBnB,2,2,3,2,3
4,BiXDFBnB,3,1,1,3,4
4,BiXDFBnB,4,1,1,1,1
4,XIDA,1,4,4,4,4
4,XIDA,2,2,3,6,5
4,XIDA,3,1,2,3,4
4,XIDA,4,1,2,2,4
4,BiXIDA,1,3,4,3,5
4,BiXIDA,2,2,3,2,3
4,BiXIDA,3,1,2,1,3
4,BiXIDA,4,1,2,1,2
5,XDFBnB,1,30,30,55,63
5,XDFBnB,2,5,15,29,61
5,XDFBnB,3,3,24,14,56
5,XDFBnB,4,3,41,24,72
5,BiXDFBnB,1,11,26,20,54
5,BiXDFBnB,2,5,13,9,18
5,BiXDFBnB,3,3,38,8,51
5,BiXDFBnB,4,5,35,5,35
5,XIDA,1,53,92,53,92
5,XIDA,2,15,59,34,98
5,XIDA,3,10,79,18,115
5,XIDA,4,6,111,28,142
5,BiXIDA,1,74,199,74,199
5,BiXIDA,2,26,69,26,69
5,BiXIDA,3,16,107,24,152
5,BiXIDA,4,7,66,34,115
6,XDFBnB,1,807,1388,7247,35692
6,XDFBnB,2,26,122,3727,43344
6,XDFBnB,3,26,282,2310,57913
6,XDFBnB,4,8,410,1929,94693
6,BiXDFBnB,1,915,2792,6163,59073
6,BiXDFBnB,2,512,2853,2190,18605
6,BiXDFBnB,3,175,3614,1632,62151
6,BiXDFBnB,4,43,828,1026,34655
6,XIDA,1,12689,70750,12689,70752
6,XIDA,2,7203,99361,7203,99363
6,XIDA,3,4522,143717,4522,143721
6,XIDA,4,3735,248591,3735,248598
6,BiXIDA,1,21332,216831,21332,216834
6,BiXIDA,2,7720,70369,7720,70370
6,BiXIDA,3,6048,243966,6048,243970
6,BiXIDA,4,4015,148871,4015,148873
