grid number,Direction,Expansions,Time [ms]
0,s -> t,"2,892","25,951"
0,t -> s,"1,728","14,836"
0,XMM,"3,149","32,643"
0,s -> t,"7,628","62,475"
0,t -> s,"4,596","41,464"
0,XMM,"7,932","80,983"
0,s -> t,"5,274","53,266"
0,t -> s,"6,394","60,062"
0,XMM,"7,487","84,664"
0,s -> t,"3,965","36,417"
0,t -> s,"3,104","28,412"
0,XMM,"5,764","61,088"
0,s -> t,"9,209","81,661"
0,t -> s,"7,378","60,716"
0,XMM,"10,654","111,378"
0,s -> t,"2,823","27,694"
0,t -> s,"1,733","16,977"
0,XMM,"3,459","37,298"
0,s -> t,"8,030","74,569"
0,t -> s,"8,561","76,338"
0,XMM,"11,131","117,036"
0,s -> t,"11,581","85,487"
0,t -> s,"13,001","87,831"
0,XMM,"11,134","110,550"
0,s -> t,"5,756","48,090"
0,t -> s,"5,730","49,096"
0,XMM,"7,094","71,949"
0,s -> t,"16,457","124,027"
0,t -> s,"14,644","111,692"
0,XMM,"17,298","167,345"
