grid number,Direction,Expansions,Time [ms]
0,s -> t,"2,188","20,584"
0,t -> s,"2,045","15,955"
0,XMM,"2,984","29,751"
0,s -> t,271,"2,539"
0,t -> s,424,"3,981"
0,XMM,489,"5,523"
0,s -> t,"4,197","32,085"
0,t -> s,346,"2,608"
0,XMM,"3,059","27,047"
0,s -> t,"2,709","22,906"
0,t -> s,"2,186","18,574"
0,XMM,"3,320","32,977"
0,s -> t,"1,259","10,716"
0,t -> s,"1,036","10,545"
0,XMM,"1,626","17,735"
0,s -> t,716,"6,619"
0,t -> s,"1,466","13,078"
0,XMM,"1,334","14,533"
0,s -> t,"2,220","18,145"
0,t -> s,"2,575","17,808"
0,XMM,"2,975","27,941"
0,s -> t,467,"4,247"
0,t -> s,727,"7,007"
0,XMM,732,"8,269"
0,s -> t,"1,485","13,643"
0,t -> s,"1,966","14,687"
0,XMM,"2,045","21,102"
0,s -> t,"1,872","16,096"
0,t -> s,"2,894","23,000"
0,XMM,"3,025","30,196"
