grid number,Direction,Expansions,Time [ms]
0,s -> t,"2,972","29,828"
0,t -> s,"2,763","24,340"
0,XMM,"3,699","40,305"
0,s -> t,"2,982","25,442"
0,t -> s,"2,405","21,636"
0,XMM,"3,766","38,615"
0,s -> t,"6,535","60,761"
0,t -> s,"5,579","48,270"
0,XMM,"7,812","83,496"
0,s -> t,"2,920","26,046"
0,t -> s,"5,545","52,759"
0,XMM,"4,926","55,081"
0,s -> t,"2,260","22,381"
0,t -> s,"1,438","14,187"
0,XMM,"2,693","31,040"
0,s -> t,"1,312","13,891"
0,t -> s,"1,187","11,761"
0,XMM,"1,758","21,209"
0,s -> t,"3,246","32,843"
0,t -> s,"2,327","22,671"
0,XMM,"3,986","44,254"
0,s -> t,"6,319","57,963"
0,t -> s,"8,714","83,463"
0,XMM,"9,658","107,736"
0,s -> t,"1,233","12,823"
0,t -> s,"2,054","21,370"
0,XMM,"2,273","26,206"
0,s -> t,"7,061","68,834"
0,t -> s,"7,972","64,573"
0,XMM,"10,053","108,372"
