grid number,Direction,Expansions,Time [ms]
0,s -> t,"27,579","393,101"
0,t -> s,"27,961","413,155"
0,XMM,"40,930","640,088"
0,s -> t,"63,809","794,192"
0,t -> s,"58,998","733,904"
0,XMM,"77,832","1,225,459"
0,s -> t,"107,944","1,407,866"
0,t -> s,"74,886","1,019,699"
0,XMM,"133,452","1,950,341"
0,s -> t,"149,308","1,829,221"
0,t -> s,"76,113","954,003"
0,XMM,"161,085","2,189,219"
0,s -> t,"111,660","1,254,884"
0,t -> s,"147,305","1,685,830"
0,XMM,"167,753","2,171,744"
0,s -> t,"46,574","584,511"
0,t -> s,"25,102","329,756"
0,XMM,"54,717","767,502"
0,s -> t,"17,758","228,444"
0,t -> s,"31,372","399,421"
0,XMM,"33,242","478,607"
0,s -> t,"127,947","1,547,450"
0,t -> s,"134,560","1,627,193"
0,XMM,"172,907","2,350,203"
0,s -> t,"53,207","654,679"
0,t -> s,"37,876","473,086"
0,XMM,"65,328","898,672"
0,s -> t,"60,590","740,306"
0,t -> s,"55,872","717,198"
0,XMM,"81,043","1,140,607"
