grid number,Direction,Expansions,Time [ms]
0,s -> t,"7,501","84,796"
0,t -> s,"7,514","63,300"
0,XMM,"9,819","116,488"
0,s -> t,"4,573","42,645"
0,t -> s,"4,325","30,255"
0,XMM,"3,631","44,827"
0,s -> t,"4,825","44,263"
0,t -> s,"3,180","30,479"
0,XMM,"5,174","57,785"
0,s -> t,"1,284","14,214"
0,t -> s,"14,154","102,263"
0,XMM,"6,625","69,755"
0,s -> t,"2,957","27,037"
0,t -> s,"3,204","30,155"
0,XMM,"4,698","50,104"
0,s -> t,"2,838","25,840"
0,t -> s,"2,983","32,901"
0,XMM,"4,340","51,335"
0,s -> t,"4,027","40,210"
0,t -> s,"2,856","22,772"
0,XMM,"4,444","51,008"
0,s -> t,"4,306","39,140"
0,t -> s,537,"5,640"
0,XMM,"2,526","27,737"
0,s -> t,"4,789","48,974"
0,t -> s,"3,829","36,836"
0,XMM,"5,563","66,380"
0,s -> t,"2,976","31,871"
0,t -> s,"1,902","18,353"
0,XMM,"3,446","43,658"
