grid number,Direction,Expansions,Time [ms]
0,s -> t,390,"2,856"
0,t -> s,230,"1,461"
0,XMM,405,"3,776"
0,s -> t,892,"6,162"
0,t -> s,"1,294","8,736"
0,XMM,"1,322","10,878"
0,s -> t,335,"2,663"
0,t -> s,398,"2,946"
0,XMM,489,"4,447"
0,s -> t,"3,705","19,185"
0,t -> s,"3,382","17,455"
0,XMM,"3,179","25,098"
0,s -> t,"1,222","9,373"
0,t -> s,"1,081","9,021"
0,XMM,"1,615","15,503"
0,s -> t,"1,438","10,539"
0,t -> s,"1,865","13,014"
0,XMM,"2,182","18,909"
0,s -> t,"1,226","8,945"
0,t -> s,701,"5,440"
0,XMM,"1,184","10,797"
0,s -> t,"1,201","8,409"
0,t -> s,"1,111","6,948"
0,XMM,"1,529","13,452"
0,s -> t,770,"5,959"
0,t -> s,856,"5,794"
0,XMM,"1,071","9,520"
0,s -> t,"1,249","8,282"
0,t -> s,"1,502","9,411"
0,XMM,"1,771","13,930"
