grid number,Direction,Expansions,Time [ms]
0,s -> t,"3,454","40,983"
0,t -> s,"2,678","28,955"
0,XMM,"4,378","58,355"
0,s -> t,"8,462","98,726"
0,t -> s,"8,127","92,414"
0,XMM,"11,135","147,643"
0,s -> t,"9,314","93,739"
0,t -> s,"7,948","64,770"
0,XMM,"9,433","111,719"
0,s -> t,"14,579","124,650"
0,t -> s,"4,083","48,877"
0,XMM,"10,905","125,707"
0,s -> t,"6,311","76,530"
0,t -> s,"8,526","96,107"
0,XMM,"10,488","139,697"
0,s -> t,"19,892","216,674"
0,t -> s,"20,213","206,032"
0,XMM,"29,246","346,155"
0,s -> t,"10,687","125,232"
0,t -> s,"10,426","114,363"
0,XMM,"15,657","198,988"
0,s -> t,"17,083","183,122"
0,t -> s,"22,532","235,790"
0,XMM,"24,552","305,963"
0,s -> t,"4,081","42,734"
0,t -> s,"7,763","75,710"
0,XMM,"7,241","89,024"
0,s -> t,"8,156","91,726"
0,t -> s,"13,599","142,349"
0,XMM,"13,165","168,281"
