grid number,Direction,Expansions,Time [ms]
0,s -> t,"6,934","74,090"
0,t -> s,"5,754","58,925"
0,XMM,"9,331","110,845"
0,s -> t,"17,525","161,028"
0,t -> s,"26,847","250,736"
0,XMM,"26,592","298,503"
0,s -> t,"5,504","55,134"
0,t -> s,"6,982","66,337"
0,XMM,"7,960","93,226"
0,s -> t,"9,506","97,013"
0,t -> s,"10,712","113,391"
0,XMM,"12,911","159,495"
0,s -> t,"6,230","66,761"
0,t -> s,"5,447","62,238"
0,XMM,"8,328","105,610"
0,s -> t,"18,213","164,688"
0,t -> s,"19,979","198,775"
0,XMM,"20,533","249,841"
0,s -> t,"22,384","229,755"
0,t -> s,"25,494","269,775"
0,XMM,"30,795","375,740"
0,s -> t,"5,182","59,842"
0,t -> s,"5,309","60,983"
0,XMM,"7,544","93,349"
0,s -> t,"16,028","161,942"
0,t -> s,"17,099","175,675"
0,XMM,"20,881","249,635"
0,s -> t,"12,953","148,810"
0,t -> s,"19,986","243,423"
0,XMM,"23,201","308,781"
