grid number,Direction,Expansions,Time [ms]
0,s -> t,"11,211","115,510"
0,t -> s,"13,527","129,686"
0,XMM,"16,124","188,068"
0,s -> t,"11,847","104,876"
0,t -> s,"20,061","186,719"
0,XMM,"19,078","210,533"
0,s -> t,"7,989","84,274"
0,t -> s,"8,921","102,368"
0,XMM,"12,904","155,061"
0,s -> t,"26,148","258,907"
0,t -> s,"21,642","215,834"
0,XMM,"31,918","375,370"
0,s -> t,"8,178","96,858"
0,t -> s,"6,286","74,984"
0,XMM,"10,478","138,232"
0,s -> t,"6,285","69,991"
0,t -> s,"6,605","84,192"
0,XMM,"8,431","114,950"
0,s -> t,"7,208","82,877"
0,t -> s,"7,466","88,779"
0,XMM,"10,009","129,954"
0,s -> t,"9,261","109,439"
0,t -> s,"10,834","110,909"
0,XMM,"13,290","172,582"
0,s -> t,"3,030","36,695"
0,t -> s,"3,170","36,674"
0,XMM,"4,506","60,207"
0,s -> t,"17,105","188,089"
0,t -> s,"6,716","71,127"
0,XMM,"16,776","211,454"
