grid number,Direction,Expansions,Time [ms]
0,s -> t,"1,874","19,031"
0,t -> s,"1,693","14,988"
0,XMM,"2,583","28,216"
0,s -> t,"2,073","18,660"
0,t -> s,"4,098","27,845"
0,XMM,"4,179","37,159"
0,s -> t,"1,016","9,338"
0,t -> s,991,"6,452"
0,XMM,"1,252","13,192"
0,s -> t,"3,779","25,016"
0,t -> s,"2,638","16,926"
0,XMM,"3,105","28,857"
0,s -> t,"1,967","17,570"
0,t -> s,"1,197","9,353"
0,XMM,"2,404","23,675"
0,s -> t,"1,844","14,251"
0,t -> s,"1,315","9,889"
0,XMM,"2,162","19,833"
0,s -> t,"1,846","10,930"
0,t -> s,"1,741","15,602"
0,XMM,"1,560","15,004"
0,s -> t,862,"7,081"
0,t -> s,"1,426","11,343"
0,XMM,"1,276","13,140"
0,s -> t,"1,844","17,618"
0,t -> s,"1,010","8,936"
0,XMM,"2,160","22,418"
0,s -> t,"3,841","27,415"
0,t -> s,"1,796","10,889"
0,XMM,"3,448","29,934"
