grid number,Direction,Expansions,Time [ms]
0,s -> t,"4,449","45,979"
0,t -> s,"7,766","74,118"
0,XMM,"7,910","91,689"
0,s -> t,"2,850","23,215"
0,t -> s,"11,403","95,708"
0,XMM,"7,099","75,694"
0,s -> t,"12,595","107,474"
0,t -> s,"7,276","68,901"
0,XMM,"8,818","103,417"
0,s -> t,"21,527","184,962"
0,t -> s,"10,187","91,044"
0,XMM,"22,648","234,864"
0,s -> t,"4,003","48,212"
0,t -> s,"1,190","12,058"
0,XMM,"4,142","54,978"
0,s -> t,"3,858","35,850"
0,t -> s,"8,820","78,525"
0,XMM,"5,719","70,747"
0,s -> t,"20,035","197,511"
0,t -> s,"13,611","147,890"
0,XMM,"18,740","233,640"
0,s -> t,"3,472","35,267"
0,t -> s,"2,992","28,598"
0,XMM,"4,269","51,958"
0,s -> t,"4,990","39,917"
0,t -> s,"5,768","60,298"
0,XMM,"4,811","57,069"
0,s -> t,"12,937","110,249"
0,t -> s,"17,506","143,890"
0,XMM,"13,275","153,266"
