grid number,Direction,Expansions,Time [ms]
0,s -> t,"2,532","17,458"
0,t -> s,"4,008","28,278"
0,XMM,"3,482","30,392"
0,s -> t,"3,005","22,624"
0,t -> s,"2,760","21,018"
0,XMM,"4,010","34,256"
0,s -> t,"1,869","13,949"
0,t -> s,"1,550","10,294"
0,XMM,"2,301","20,557"
0,s -> t,998,"7,943"
0,t -> s,"1,117","9,117"
0,XMM,"1,412","13,269"
0,s -> t,828,"7,778"
0,t -> s,682,"5,951"
0,XMM,"1,138","11,203"
0,s -> t,966,"8,327"
0,t -> s,842,"6,600"
0,XMM,"1,178","11,846"
0,s -> t,"4,425","38,819"
0,t -> s,"2,683","23,241"
0,XMM,"5,464","53,336"
0,s -> t,"1,322","11,164"
0,t -> s,"1,367","11,735"
0,XMM,"1,783","17,259"
0,s -> t,870,"7,436"
0,t -> s,"1,654","13,548"
0,XMM,"1,665","16,418"
0,s -> t,"2,696","19,960"
0,t -> s,"2,225","17,224"
0,XMM,"2,805","25,526"
